Protein IDs	173.1	173.2	173.3	173.4	173L.1	173L.2	173S.1	173S.2	173S.3	173S.4	178.1	178.2	178.3	178.4	178L.1	178L.2	178S.1	178S.2	178S.3	178S.4	275.1	275.2	275.3	275.4	275L.1	275L.2	275S.1	275S.2	275S.3	275S.4	282.1	282.2	282.3	282.4	288.1	288.2	288.3	288.4	575.1	575.2	575.3	575.4
LdBPK_010011500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7741900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7406300	0	0	0	0	0	0	0	0	0	0
LdBPK_010011600	68321000	0	38550000	66558000	55984000	64451000	38508000	0	28014000	56566000	53389000	46911000	0	71810000	77282000	68695000	40470000	0	0	38622000	31748000	46127000	57526000	38777000	64661000	80095000	0	0	0	44071000	37847000	80071000	29945000	40809000	35948000	45580000	50246000	26053000	34637000	61651000	46712000	56229000
LdBPK_010011800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1471200
LdBPK_020005400	34234000	0	35547000	33873000	0	0	25760000	0	27312000	32022000	0	0	0	0	39789000	32269000	0	0	0	0	71149000	0	40629000	0	40986000	0	0	0	0	0	35028000	0	0	0	0	25857000	33065000	0	32072000	32467000	29135000	0
LdBPK_020005900	33996000	33649000	33224000	24461000	32219000	27098000	0	0	24328000	0	27645000	27618000	43238000	25489000	25474000	26356000	0	0	0	0	30224000	40372000	24662000	27342000	32888000	40452000	0	0	20381000	21576000	0	18241000	0	16248000	23997000	28736000	24578000	23578000	20163000	33268000	21322000	29294000
LdBPK_020006500	0	0	0	0	0	0	6857700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020007700	0	0	0	0	0	0	0	0	0	122410000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020007900	0	13761000	11236000	15841000	14510000	0	0	0	12159000	17682000	0	15823000	12302000	0	0	0	13088000	0	0	0	0	14432000	18221000	20890000	10587000	13520000	8054900	0	0	0	10298000	4421400	0	0	13878000	0	0	0	7264500	0	0	0
LdBPK_020008100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31852000	8731900	9826200	0	10283000	13297000	0	0	0	0	0	0	0	0	8549800	0	0	0	0	0	0	0
LdBPK_020008200	0	0	0	0	20382000	10741000	0	0	0	14851000	0	21274000	0	0	0	0	0	0	0	0	25636000	13545000	21038000	17648000	11142000	36868000	15531000	0	0	14515000	0	23355000	0	0	0	0	0	0	0	0	0	14954000
LdBPK_020008400	74790000	64978000	132500000	59850000	172060000	98459000	166550000	166310000	122430000	131340000	97400000	151340000	86950000	83043000	97229000	100150000	149290000	113740000	84045000	175600000	173600000	170810000	177180000	161480000	211930000	214390000	187160000	472790000	210200000	227730000	49487000	61886000	111710000	92427000	104730000	149560000	82418000	85231000	69914000	63568000	100880000	92324000
LdBPK_020008500	0	0	8528400	0	13748000	6523500	0	10166000	8923900	10301000	11284000	11088000	0	0	0	6151500	0	0	0	9094600	6520900	10687000	0	11918000	22857000	7919200	11168000	0	0	0	8452300	8969700	0	9292800	0	0	10442000	14383000	0	0	0	0
LdBPK_020008900	343130000	0	373950000	382120000	319280000	286770000	478060000	582170000	496750000	256250000	419500000	309220000	300120000	246720000	325890000	210870000	340710000	0	0	274450000	310260000	478150000	345840000	384060000	351630000	450900000	547120000	0	591670000	463040000	287400000	458170000	262230000	522580000	444290000	292940000	371310000	307000000	455020000	333940000	490760000	553430000
LdBPK_020009000	82163000	88032000	84158000	75078000	106890000	93936000	110200000	130610000	98191000	92994000	110600000	77287000	94577000	84052000	65436000	66300000	95134000	111570000	116050000	108360000	65193000	72144000	116710000	97777000	83193000	106130000	80093000	39326000	92434000	132390000	82034000	75650000	99592000	82502000	87279000	64747000	74130000	67069000	90161000	121600000	84418000	85433000
LdBPK_020009100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020009200	0	0	0	0	7866100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020009400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2834000	0	0	0	0	0	0	0	0	0
LdBPK_020009500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7050700	0	0	0	0	0
LdBPK_020010000	0	0	33741000	26118000	23089000	42611000	39909000	31761000	0	30714000	35747000	46419000	0	24750000	32445000	20813000	0	0	0	0	57850000	50774000	53953000	74973000	101000000	79325000	46697000	52258000	52042000	32531000	0	27125000	32040000	0	19482000	24509000	0	45600000	37377000	23906000	32449000	34981000
LdBPK_020010100	651550000	463340000	660830000	762160000	532910000	785000000	380910000	649980000	963050000	666010000	541630000	289770000	655950000	764940000	491650000	404000000	743170000	418440000	270260000	478380000	514950000	683820000	606980000	784980000	710970000	679840000	634470000	341610000	879750000	699960000	560290000	307660000	488510000	551640000	514920000	550000000	695480000	611270000	656510000	495550000	705210000	596590000
LdBPK_020010600	0	0	0	0	15532000	0	0	0	23950000	0	0	0	0	0	0	0	18834000	0	0	0	0	0	0	18421000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020010900	0	33512000	0	0	24538000	19942000	25103000	59714000	0	23992000	0	28712000	15809000	0	22582000	22727000	26160000	38879000	45975000	31072000	26895000	26620000	37669000	28613000	30371000	22989000	50699000	54608000	52662000	76794000	0	19746000	25398000	0	25539000	28059000	0	0	0	0	0	0
LdBPK_020011100	662570000	488830000	667680000	689200000	603220000	656760000	703650000	1191000000	1135300000	779690000	418050000	648340000	491350000	550720000	541950000	588270000	919380000	732110000	789610000	1253100000	1026600000	899770000	885190000	1091500000	786980000	614800000	1275000000	1437100000	1616400000	1159100000	509900000	443800000	720040000	561660000	511020000	457460000	482990000	695330000	571170000	451280000	657660000	501130000
LdBPK_020011600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12698000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LdBPK_020011800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951310	0	0	0	0
LdBPK_020012200	0	0	22429000	23163000	20675000	0	31268000	24928000	31836000	22694000	0	0	0	20260000	26636000	23116000	23298000	0	0	16159000	29615000	19885000	14173000	19990000	31778000	19392000	22481000	0	29618000	23798000	19427000	0	17160000	25334000	16461000	0	0	26087000	17582000	0	24293000	0
LdBPK_020012300	9403800	0	13359000	7748100	4031600	11236000	0	0	10894000	10870000	0	0	0	0	5242500	0	0	10705000	0	0	13594000	0	8429200	16499000	5883900	8689200	0	13404000	0	0	0	3848500	0	0	0	0	0	9596000	9062100	0	0	0
